Disease,Department,arabic_disease
postoperative infection,General Surgery,العدوى بعد العملية الجراحية
cystitis,Urology,التهاب المثانة
urethral disorder,Urology,اضطراب مجرى البول
sciatica,Neurology,عرق النسا
spondylolisthesis,Orthopedics,الفقرة الفقارية
social phobia,Psychiatry,الرهاب الاجتماعي
hormone disorder,Endocrinology,اضطراب الهرمونات
dengue fever,Infectious Disease,حمى حمى الضنك
myoclonus,Neurology,عضلي
intestinal malabsorption,Gastroenterology,سوء الامتصاص المعوي
astigmatism,Ophthalmology,الاستجماتيزم
open wound of the cheek,Plastic Surgery,الجرح المفتوح للخد
asperger syndrome,Psychiatry,متلازمة أسبرجر
whooping cough,Pediatrics,السعال الديكي
pulmonary congestion,Pulmonology,الازدحام الرئوي
fibromyalgia,Rheumatology,فيبروميالغيا
hyponatremia,Endocrinology,نقص صوديوم الدم
hiatal hernia,Gastroenterology,فتق الحجاب
nasal polyp,ENT,polyp الأنف
scleritis,Ophthalmology,التهاب الصلبة
fracture of the neck,Orthopedics,كسر الرقبة
complex regional pain syndrome,Neurology,متلازمة الألم الناحي المركّب
acute glaucoma,Ophthalmology,الجلوكوما الحادة
peripheral nerve disorder,Neurology,اضطراب الأعصاب المحيطية
vaginitis,Gynecology,التهاب المهبل
vitamin d deficiency,Endocrinology,فيتامين (د) نقص
injury to the shoulder,Orthopedics,إصابة في الكتف
developmental disability,Pediatrics,الإعاقة التنموية
fracture of the finger,Orthopedics,كسر الإصبع
fracture of the vertebra,Orthopedics,كسر الفقرة
fibroadenoma,Oncology,الورم الليفي
poisoning due to antidepressants,Emergency Medicine,التسمم بسبب مضادات الاكتئاب
tuberculosis,Infectious Disease,مرض الدرن
liver cancer,Oncology,سرطان الكبد
mastoiditis,ENT,التهاب الخبل
parasitic disease,Infectious Disease,مرض الطفيليات
subacute thyroiditis,Endocrinology,التهاب الغدة الدرقية تحت الحاد
hyperlipidemia,Cardiology,فرط شحميات الدم
urinary tract infection,Urology,عدوى المسالك البولية
parkinson disease,Neurology,مرض باركنسون
transient ischemic attack,Neurology,هجوم نقص تروية عابر
deep vein thrombosis (dvt),Vascular Surgery,تخثر الوريد العميق (DVT)
scarlet fever,Pediatrics,حمى القرمزي
open wound of the knee,Orthopedics,الجرح المفتوح للركبة
crushing injury,Trauma Surgery,إصابة سحق
intracranial hemorrhage,Neurosurgery,نزيف داخل الجمجمة
osteoarthritis,Rheumatology,هشاشة العظام
diabetes insipidus,Endocrinology,مرض السكري insipidus
pelvic inflammatory disease,Gynecology,مرض التهاب الحوض
foreign body in the ear,ENT,الجسم الغريب في الأذن
graves disease,Endocrinology,مرض جريفز
intertrigo (skin condition),Dermatology,intertrigo (حالة الجلد)
callus,Dermatology,الكالس
hypercalcemia,Endocrinology,فرط كالسيوم الدم
chronic ulcer,Dermatology,قرحة مزمنة
polymyalgia rheumatica,Rheumatology,Polymyalgia Rheumatica
dumping syndrome,Gastroenterology,متلازمة الإغراق
hypothermia,Emergency Medicine,انخفاض حرارة الجسم
drug withdrawal,Psychiatry,انسحاب المخدرات
trichomonas infection,Gynecology,عدوى Trichomonas
abscess of the pharynx,ENT,خراج البلعوم
placenta previa,Obstetrics,كوالا سابقا
vitreous hemorrhage,Ophthalmology,النزف الزجاجي
idiopathic painful menstruation,Gynecology,الحيض المؤلم مجهول السبب
hydronephrosis,Urology,هيدرونيفورم
von willebrand disease,Hematology,مرض فون ويلبراند
endocarditis,Cardiology,التهاب الشغاف
obesity,Endocrinology,بدانة
glaucoma,Ophthalmology,الجلوكوما
idiopathic absence of menstruation,Gynecology,الغياب مجهول السبب في الحيض
atrial fibrillation,Cardiology,رجفان أذيني
induced abortion,Gynecology,الإجهاض المستحث
bladder cancer,Urology,سرطان المثانة
normal pressure hydrocephalus,Neurosurgery,استسقاء الضغط الطبيعي
herpangina,Pediatrics,هيربانغينا
bone spur of the calcaneous,Orthopedics,تحفيز العظام من العناء
gastroparesis,Gastroenterology,المعدة
avascular necrosis,Orthopedics,نخر الأوعية الدموية
eye alignment disorder,Ophthalmology,اضطراب محاذاة العين
fracture of the patella,Orthopedics,كسر الرضفة
iron deficiency anemia,Hematology,فقر الدم نقص الحديد
varicose veins,Vascular Surgery,توسع الأوردة
pregnancy,Obstetrics,الحمل
adrenal adenoma,Endocrinology,الورم الحميد الغدة الكظرية
scar,Plastic Surgery,ندبة
schizophrenia,Psychiatry,فُصام
testicular disorder,Urology,اضطراب الخصية
hirsutism,Endocrinology,هرمي
osteochondroma,Orthopedics,Osteochondroma
jaw disorder,Dentistry,اضطراب الفك
open wound of the mouth,Dentistry,جرح مفتوح من الفم
hemangioma,Dermatology,ورم وعائي
chalazion,Ophthalmology,برَدة
mucositis,Dentistry,التهاب الغشاء المخاطي
sjogren syndrome,Rheumatology,Shogren Sundrome
frostbite,Emergency Medicine,قضمة الصقيع
cardiac arrest,Cardiology,توقف القلب
fracture of the pelvis,Orthopedics,كسر الحوض
vitreous degeneration,Ophthalmology,تنكس الزجاجية
premenstrual tension syndrome,Gynecology,متلازمة التوتر ما قبل الحيض
chronic pain disorder,Neurology,اضطراب الألم المزمن
thyroid nodule,Endocrinology,عقيدات الغدة الدرقية
alcoholic liver disease,Gastroenterology,مرض الكبد الكحولي
dislocation of the knee,Orthopedics,خلع الركبة
anal fissure,Colorectal Surgery,الشرج الشرج
subdural hemorrhage,Neurosurgery,النزيف تحت الجافية
seborrheic dermatitis,Dermatology,التهاب الجلد الدبابي
tricuspid valve disease,Cardiology,مرض صمام Tricuspid
osteoporosis,Endocrinology,هشاشة العظام
sickle cell anemia,Hematology,فقر الدم المنجل
atrophic vaginitis,Gynecology,التهاب المهبل الضمري
fracture of the skull,Neurosurgery,كسر الجمجمة
yeast infection,Gynecology,عدوى الخميرة
prostatitis,Urology,التهاب البروستاتا
pneumoconiosis,Pulmonology,الرئوي
tendinitis,Orthopedics,التهاب الأوتار
gout,Rheumatology,النقرس
insect bite,Dermatology,لدغة الحشرات
retinopathy due to high blood pressure,Ophthalmology,اعتلال الشبكية بسبب ارتفاع ضغط الدم
seasonal allergies (hay fever),Allergy,الحساسية الموسمية (حمى القش)
stricture of the esophagus,Gastroenterology,تضيق المريء
ear wax impaction,ENT,انحراف الشمع الأذن
neonatal jaundice,Pediatrics,اليرقان الوليدي
poisoning due to gas,Emergency Medicine,التسمم بسبب الغاز
laryngitis,ENT,التهاب الحنجرة
muscular dystrophy,Neurology,ضمور العضلات
menopause,Gynecology,سن اليأس
fetal alcohol syndrome,Pediatrics,متلازمة الكحول الجنين
vitamin b12 deficiency,Hematology,نقص فيتامين B12
envenomation from spider or animal bite,Emergency Medicine,توضيح من العنكبوت أو لدغة الحيوانات
chorioretinitis,Ophthalmology,التهاب المشيمية
conduct disorder,Psychiatry,سلوك السلوك
thrombophlebitis,Vascular Surgery,التخثر
chlamydia,Gynecology,الكلاميديا
hypergammaglobulinemia,Immunology,Hypergammaglobulinemia
dislocation of the vertebra,Orthopedics,خلع الفقرات
cholesteatoma,ENT,سرطان الكوليستور
poisoning due to sedatives,Emergency Medicine,التسمم بسبب المهدئات
pelvic fistula,Gynecology,ناسور الحوض
tracheitis,Pulmonology,التهاب القصبة الهوائية
dislocation of the finger,Orthopedics,خلع الإصبع
autonomic nervous system disorder,Neurology,اضطراب الجهاز العصبي اللاإرادي
anxiety,Psychiatry,قلق
premature ovarian failure,Gynecology,فشل المبيض المبكر
ear drum damage,ENT,تلف أسطوانة الأذن
acute pancreatitis,Gastroenterology,التهاب البنكرياس الحاد
eating disorder,Psychiatry,اضطراب الأكل
juvenile rheumatoid arthritis,Rheumatology,الأحداث التهاب المفاصل
varicocele of the testicles,Urology,دوالي الخصيتين
vaginal yeast infection,Gynecology,التهاب المهبل الفطري
paroxysmal supraventricular tachycardia,Cardiology,عدم انتظام دقات القلب فوق البطيني paroxysmal
skin pigmentation disorder,Dermatology,اضطراب تصبغ الجلد
brachial neuritis,Neurology,التهاب الأعصاب العضدي
fracture of the facial bones,Plastic Surgery,كسر عظام الوجه
necrotizing fasciitis,General Surgery,نخر التهاب اللفافة
female infertility of unknown cause,Gynecology,العقم الإناث لسبب غير معروف
